pt = [545, 1353, 1]
pt = [545, 1354, 1]
pt = [545, 1356, 1]
pt = [545, 1357, 1]
pt = [545, 1408, 1]
pt = [545, 1419, 1]
pt = [545, 1547, 1]
pt = [545, 1561, 1]
pt = [545, 2039, 1]
pt = [545, 2047, 1]
pt = [545, 2048, 1]
pt = [545, 2052, 1]
pt = [545, 2064, 1]
pt = [545, 2065, 1]
pt = [545, 3088, 1]
pt = [545, 3168, 1]
pt = [545, 3309, 1]
pt = [545, 3310, 1]
pt = [545, 3311, 1]
pt = [545, 3312, 1]
pt = [546, 1148, 1]
pt = [546, 1204, 1]
pt = [546, 1294, 1]
pt = [546, 1295, 1]
pt = [546, 1339, 1]
pt = [546, 1408, 1]
pt = [546, 1411, 1]
pt = [546, 1430, 1]
pt = [546, 1547, 1]
pt = [546, 1548, 1]
pt = [546, 1549, 1]
pt = [546, 1550, 1]
pt = [546, 1551, 1]
pt = [546, 1552, 1]
pt = [546, 1631, 1]
pt = [546, 1632, 1]
pt = [546, 1695, 1]
pt = [546, 1696, 1]
pt = [546, 1754, 1]
pt = [546, 1755, 1]
pt = [546, 1758, 1]
pt = [546, 2039, 1]
pt = [546, 2046, 1]
pt = [546, 2048, 1]
pt = [546, 2058, 1]
pt = [546, 2059, 1]
pt = [546, 2188, 1]
pt = [546, 2189, 1]
pt = [546, 2262, 1]
pt = [546, 2794, 1]
pt = [546, 3020, 1]
pt = [546, 3035, 1]
pt = [546, 3042, 1]
pt = [546, 3043, 1]
pt = [546, 3168, 1]
pt = [547, 1213, 1]
pt = [547, 1221, 1]
pt = [547, 1280, 1]
pt = [547, 1281, 1]
pt = [547, 1282, 1]
pt = [547, 1283, 1]
pt = [547, 1284, 1]
pt = [547, 1337, 1]
pt = [547, 1339, 1]
pt = [547, 1341, 1]
pt = [547, 1342, 1]
pt = [547, 1354, 1]
pt = [547, 1404, 1]
pt = [547, 1411, 1]
pt = [547, 1415, 1]
pt = [547, 1423, 1]
pt = [547, 1555, 1]
pt = [547, 1558, 1]
pt = [547, 1632, 1]
pt = [547, 1678, 1]
pt = [547, 1755, 1]
pt = [547, 1756, 1]
pt = [547, 1757, 1]
pt = [547, 1758, 1]
pt = [547, 1766, 1]
pt = [547, 1965, 1]
pt = [547, 1966, 1]
pt = [547, 2037, 1]
pt = [547, 2049, 1]
pt = [547, 2061, 1]
pt = [547, 2062, 1]
pt = [547, 2112, 1]
pt = [547, 2196, 1]
pt = [547, 2262, 1]
pt = [547, 2662, 1]
pt = [547, 2663, 1]
pt = [547, 2667, 1]
pt = [547, 2792, 1]
pt = [547, 3035, 1]
pt = [547, 3168, 1]
pt = [547, 3716, 1]
pt = [548, 1081, 1]
pt = [548, 1082, 1]
pt = [548, 1204, 1]
pt = [548, 1232, 1]
